series,variable,unit,pairs,e1_beta,e2_beta,e3_beta,e1_effect_minus25bp,e2_effect_minus25bp,e3_effect_minus25bp,e3_robust_se_effect,e1_block_ci_lo,e1_block_ci_hi,centered_e1_effect,delta_anchor_second_moment,delta_anchor_ci_lo,delta_anchor_ci_hi,bootstrap_prob_positive_anchor_shift,first_stage_robust_F_z1,AR_zero_p,AR_effect_confidence_set,relative_rank1_residual
DGS10,US 10-year yield,bp,18,1.0921052631578922,0.903614457831321,0.8628504818719381,-27.302631578947306,-22.590361445783024,-21.571262046798452,5.964205134767768,-125.79809725158046,97.40384615384482,-26.35038240917774,12.666666666666739,-5.452777777777671,33.34722222222237,0.8959479739869936,0.8862048992621709,0.03835635801536578,"[-inf, -14.93] U [4.40, +inf]",0.20859649122807328
T10YIE,US 10-year breakeven,bp,18,0.3289473684210497,0.5599999999999971,0.38154735492776753,-8.223684210526242,-13.999999999999927,-9.538683873194188,7.171070971520894,-75.20833333332668,38.61216329966473,-7.636233269598394,12.666666666666739,-5.669444444444362,31.783333333333417,0.9084542271135568,0.8862048992621709,0.06165178328553072,"[-inf, 0.90] U [6.31, +inf]",0.41259398496240823
SP500,S&P 500,%,18,-0.07997613018892043,-0.40022679126225164,-0.07419725568150815,1.9994032547230107,10.005669781556291,1.8549313920377037,2.0219034169532804,-16.51688459114536,20.001808434779665,1.5217583017571463,12.666666666666739,-4.336111111111074,32.17222222222237,0.9094547273636818,0.8862048992621709,0.43300853230938097,"[-inf, +inf]",0.8001729720874297
BAMLC0A4CBBB,US BBB OAS,bp,18,-0.2543859649122794,0.03448275862068903,-0.08943020426639589,6.359649122806984,-0.8620689655172258,2.235755106659897,3.0991980041118787,-104.334677419366,82.60416666666028,6.046845124282947,12.666666666666739,-5.002777777777812,32.50277777777792,0.9119559779889945,0.8862048992621709,0.27236441363358155,"[-inf, -24.11] U [-3.10, +inf]",8.377192982456235
BAMLH0A0HYM2,US high-yield OAS,bp,18,-0.3859649122807045,-2.6818181818181666,-0.7625279382564559,9.649122807017612,67.04545454545416,19.0631984564114,23.49244985478263,-241.6666666666584,198.2502530364275,10.468451242829872,12.666666666666739,-4.9444444444443745,32.39444444444456,0.9099549774887443,0.8862048992621709,0.6254737019136837,"[-inf, +inf]",0.8560808801665162
DCOILBRENTEU,Brent spot,USD/bbl,17,0.7836312849162002,2.120906822556493,1.0131147379458392,-19.590782122905004,-53.02267056391232,-25.32786844864598,21.73099739181075,-178.89005376343889,101.43774038461649,-18.398379473328824,10.529411764705937,-6.241176470588147,28.714705882353005,0.8959479739869936,0.5431032908672576,0.2868241334783258,"[-inf, +inf]",0.63052064495147
DCOILWTICO,WTI spot,USD/bbl,18,0.6703947368421029,1.9084121687929299,0.87702014880147,-16.759868421052573,-47.71030421982324,-21.925503720036748,17.38443119677891,-122.72560096153224,81.05581872172161,-17.109345124282918,12.666666666666739,-4.733333333333271,32.16666666666681,0.9094547273636818,0.8862048992621709,0.13936437714419642,"[-inf, +inf]",0.6487159598934399
DTWEXBGS,Broad US dollar,%,18,0.0527410747896094,0.08015244394011783,0.05850453523329431,-1.318526869740235,-2.003811098502946,-1.4626133808323578,1.1922151788138753,-15.70928291402805,8.527187154956447,-1.3355145427749737,12.666666666666739,-5.166666666666539,31.447222222222344,0.9079539769884942,0.8862048992621709,0.029164501417884837,"[-inf, -0.16] U [1.74, +inf]",0.34199043476437924
VIXCLS,VIX,points,18,0.1558771929824559,1.0829966235227881,0.13900919652889449,-3.8969298245613975,-27.074915588069704,-3.4752299132223623,4.583169116479093,-23.604720279719484,12.581300813007092,-3.3355640535372792,12.666666666666739,-5.611111111111069,32.38888888888895,0.9094547273636818,0.8862048992621709,0.26013051632988005,"[-inf, +inf]",0.8560686251491567
DEXUSEU,EUR/USD,%,18,-0.09056979013435797,-0.07804320997926813,-0.0845769949272036,2.264244753358949,1.9510802494817032,2.1144248731800896,1.51599261040638,-25.457980747331586,22.616114824870603,2.286208373485061,12.666666666666739,-5.1694444444443395,34.225000000000094,0.9094547273636818,0.8862048992621709,0.011214149443301116,"[-inf, -4.21] U [0.41, +inf]",0.16050826405548252
